Year,Month,Day,Rainfall
2011,05,01,27.6
2011,05,02,26.5
2011,05,03,27.9
2011,05,04,27.1
2011,05,05,28.8
2011,05,06,29.7
2011,05,07,30.0
2011,05,08,30.8
2011,05,09,30.9
2011,05,10,30.0
2011,05,11,29.8
2011,05,12,27.9
2011,05,13,28.6
2011,05,14,27.9
2011,05,15,29.3
2011,05,16,28.9
2011,05,17,29.1
2011,05,18,29.0
2011,05,19,29.3
2011,05,20,29.2
2011,05,21,28.6
2011,05,22,29.4
2011,05,23,29.7
2011,05,24,30.0
2011,05,25,28.6
2011,05,26,29.1
2011,05,27,28.8
2011,05,28,29.2
2011,05,29,29.0
2011,05,30,29.6
2011,05,31,28.7
2011,06,01,27.7
2011,06,02,28.9
2011,06,03,29.4
2011,06,04,28.7
2011,06,05,26.5
2011,06,06,26.8
2011,06,07,29.4
2011,06,08,29.8
2011,06,09,27.6
2011,06,10,29.4
2011,06,11,27.4
2011,06,12,28.6
2011,06,13,28.9
2011,06,14,29.1
2011,06,15,29.8
2011,06,16,28.1
2011,06,17,29.4
2011,06,18,27.7
2011,06,19,29.0
2011,06,20,29.6
2011,06,21,29.8
2011,06,22,29.6
2011,06,23,27.7
2011,06,24,29.4
2011,06,25,28.8
2011,06,26,29.3
2011,06,27,29.2
2011,06,28,29.1
2011,06,29,29.0
2011,06,30,26.5
2011,07,01,28.7
2011,07,02,29.4
2011,07,03,28.7
2011,07,04,29.1
2011,07,05,29.7
2011,07,06,29.7
2011,07,07,29.6
2011,07,08,29.8
2011,07,09,29.6
2011,07,10,28.9
2011,07,11,29.4
2011,07,12,28.0
2011,07,13,29.7
2011,07,14,29.7
2011,07,15,27.6
2011,07,16,27.0
2011,07,17,28.7
2011,07,18,29.4
2011,07,19,29.4
2011,07,20,29.5
2011,07,21,29.6
2011,07,22,27.9
2011,07,23,28.6
2011,07,24,29.3
2011,07,25,28.2
2011,07,26,28.7
2011,07,27,28.7
2011,07,28,29.2
2011,07,29,29.4
2011,07,30,29.3
2011,07,31,29.2
2011,08,01,29.2
2011,08,02,29.4
2011,08,03,28.8
2011,08,04,26.7
2011,08,05,28.8
2011,08,06,29.0
2011,08,07,27.4
2011,08,08,28.9
2011,08,09,29.3
2011,08,10,29.5
2011,08,11,29.5
2011,08,12,29.4
2011,08,13,28.8
2011,08,14,29.3
2011,08,15,26.3
2011,08,16,28.2
2011,08,17,28.7
2011,08,18,29.1
2011,08,19,29.6
2011,08,20,28.7
2011,08,21,28.9
2011,08,22,29.3
2011,08,23,29.0
2011,08,24,29.5
2011,08,25,29.1
2011,08,26,27.0
2011,08,27,26.3
2011,08,28,28.4
2011,08,29,27.5
2011,08,30,27.6
2011,08,31,28.8
2011,09,01,29.5
2011,09,02,29.6
2011,09,03,28.8
2011,09,04,29.1
2011,09,05,29.1
2011,09,06,29.3
2011,09,07,29.3
2011,09,08,29.0
2011,09,09,29.3
2011,09,10,27.8
2011,09,11,28.1
2011,09,12,29.0
2011,09,13,29.1
2011,09,14,28.0
2011,09,15,27.8
2011,09,16,28.8
2011,09,17,28.1
2011,09,18,28.5
2011,09,19,27.4
2011,09,20,27.0
2011,09,21,27.8
2011,09,22,26.2
2011,09,23,28.7
2011,09,24,29.5
2011,09,25,29.5
2011,09,26,27.4
2011,09,27,28.6
2011,09,28,28.2
2011,09,29,29.4
2011,09,30,28.3
2011,10,01,28.8
2011,10,02,27.9
2011,10,03,29.6
2011,10,04,26.0
2011,10,05,27.8
2011,10,06,28.0
2011,10,07,27.6
2011,10,08,28.0
2011,10,09,27.6
2011,10,10,28.1
2011,10,11,26.6
2011,10,12,26.7
2011,10,13,28.5
2011,10,14,29.4
2011,10,15,29.6
2011,10,16,29.3
2011,10,17,28.8
2011,10,18,27.7
2011,10,19,26.7
2011,10,20,26.5
2011,10,21,26.5
2011,10,22,27.2
2011,10,23,27.8
2011,10,24,28.8
2011,10,25,28.2
2011,10,26,26.9
2011,10,27,26.1
2011,10,28,27.6
2011,10,29,28.3
2011,10,30,29.0
2011,10,31,27.5
2011,11,01,27.6
2011,11,02,26.8
2011,11,03,26.9
2011,11,04,26.6
2011,11,05,28.1
2011,11,06,27.5
2011,11,07,28.8
2011,11,08,28.1
2011,11,09,28.4
2011,11,10,28.2
2011,11,11,27.8
2011,11,12,26.2
2011,11,13,26.6
2011,11,14,26.6
2011,11,15,27.5
2011,11,16,27.2
2011,11,17,27.8
2011,11,18,27.0
2011,11,19,27.4
2011,11,20,27.1
2011,11,21,27.4
2011,11,22,28.0
2011,11,23,26.8
2011,11,24,26.9
2011,11,25,27.8
2011,11,26,27.6
2011,11,27,28.0
2011,11,28,27.1
2011,11,29,27.1
2011,11,30,27.2
2011,12,01,27.2
2011,12,02,25.9
2011,12,03,26.0
2011,12,04,26.8
2011,12,05,26.7
2011,12,06,28.1
2011,12,07,27.4
2011,12,08,27.3
2011,12,09,27.4
2011,12,10,27.9
2011,12,11,25.6
2011,12,12,26.3
2011,12,13,27.5
2011,12,14,27.6
2011,12,15,27.9
2011,12,16,27.7
2011,12,17,26.8
2011,12,18,26.3
2011,12,19,25.3
2011,12,20,26.4
2011,12,21,27.4
2011,12,22,26.1
2011,12,23,26.4
2011,12,24,26.7
2011,12,25,26.4
2011,12,26,27.2
2011,12,27,27.3
2011,12,28,26.4
2011,12,29,26.4
2011,12,30,27.4
2011,12,31,28.1
2012,01,01,27.5
2012,01,02,27.6
2012,01,03,27.5
2012,01,04,27.4
2012,01,05,27.4
2012,01,06,27.8
2012,01,07,27.4
2012,01,08,25.7
2012,01,09,26.2
2012,01,10,25.7
2012,01,11,26.7
2012,01,12,26.7
2012,01,13,27.0
2012,01,14,27.7
2012,01,15,27.9
2012,01,16,28.2
2012,01,17,28.1
2012,01,18,27.6
2012,01,19,28.0
2012,01,20,26.1
2012,01,21,26.4
2012,01,22,26.9
2012,01,23,26.0
2012,01,24,26.8
2012,01,25,27.8
2012,01,26,27.4
2012,01,27,27.3
2012,01,28,26.7
2012,01,29,27.5
2012,01,30,27.6
2012,01,31,26.4
2012,02,01,27.3
2012,02,02,25.9
2012,02,03,25.6
2012,02,04,26.6
2012,02,05,27.8
2012,02,06,27.7
2012,02,07,27.6
2012,02,08,27.9
2012,02,09,27.3
2012,02,10,27.6
2012,02,11,28.1
2012,02,12,28.2
2012,02,13,27.1
2012,02,14,27.9
2012,02,15,27.3
2012,02,16,27.6
2012,02,17,27.0
2012,02,18,26.0
2012,02,19,26.5
2012,02,20,27.1
2012,02,21,27.3
2012,02,22,27.8
2012,02,23,28.3
2012,02,24,28.5
2012,02,25,28.6
2012,02,26,28.3
2012,02,27,28.0
2012,02,28,28.6
2012,02,29,28.4
2012,03,01,27.4
2012,03,02,25.9
2012,03,03,27.6
2012,03,04,28.4
2012,03,05,26.2
2012,03,06,28.1
2012,03,07,28.1
2012,03,08,28.0
2012,03,09,27.3
2012,03,10,27.6
2012,03,11,27.0
2012,03,12,26.1
2012,03,13,27.0
2012,03,14,25.0
2012,03,15,27.1
2012,03,16,28.5
2012,03,17,27.8
2012,03,18,27.3
2012,03,19,27.9
2012,03,20,28.4
2012,03,21,28.2
2012,03,22,27.5
2012,03,23,28.1
2012,03,24,28.4
2012,03,25,27.5
2012,03,26,27.7
2012,03,27,27.7
2012,03,28,27.9
2012,03,29,27.9
2012,03,30,27.3
2012,03,31,26.5
2012,04,01,29.3
2012,04,02,27.6
2012,04,03,28.3
2012,04,04,28.0
2012,04,05,28.2
2012,04,06,27.2
2012,04,07,27.5
2012,04,08,27.7
2012,04,09,27.5
2012,04,10,26.7
2012,04,11,27.1
2012,04,12,28.1
2012,04,13,29.4
2012,04,14,28.1
2012,04,15,28.0
2012,04,16,28.8
2012,04,17,28.0
2012,04,18,29.3
2012,04,19,27.1
2012,04,20,29.4
2012,04,21,27.5
2012,04,22,28.5
2012,04,23,29.1
2012,04,24,27.2
2012,04,25,29.1
2012,04,26,29.6
2012,04,27,29.7
2012,04,28,29.8
2012,04,29,29.6
2012,04,30,28.8
2012,05,01,28.7
2012,05,02,27.7
2012,05,03,29.5
2012,05,04,29.3
2012,05,05,27.9
2012,05,06,27.6
2012,05,07,26.8
2012,05,08,29.6
2012,05,09,28.0
2012,05,10,28.8
2012,05,11,29.1
2012,05,12,30.2
2012,05,13,28.0
2012,05,14,30.6
2012,05,15,29.7
2012,05,16,29.0
2012,05,17,27.7
2012,05,18,29.7
2012,05,19,30.3
2012,05,20,29.5
2012,05,21,29.5
2012,05,22,30.0
2012,05,23,28.1
2012,05,24,29.7
2012,05,25,29.0
2012,05,26,28.9
2012,05,27,27.6
2012,05,28,29.5
2012,05,29,28.8
2012,05,30,29.2
2012,05,31,28.9
2012,06,01,28.4
2012,06,02,29.1
2012,06,03,28.7
2012,06,04,29.7
2012,06,05,29.7
2012,06,06,29.6
2012,06,07,30.8
2012,06,08,29.5
2012,06,09,27.1
2012,06,10,29.5
2012,06,11,29.7
2012,06,12,29.6
2012,06,13,30.1
2012,06,14,30.2
2012,06,15,30.2
2012,06,16,30.0
2012,06,17,30.0
2012,06,18,30.0
2012,06,19,29.4
2012,06,20,29.5
2012,06,21,28.6
2012,06,22,29.6
2012,06,23,30.2
2012,06,24,30.2
2012,06,25,29.8
2012,06,26,29.7
2012,06,27,28.8
2012,06,28,29.2
2012,06,29,29.5
2012,06,30,28.6
2012,07,01,28.9
2012,07,02,28.7
2012,07,03,27.5
2012,07,04,27.9
2012,07,05,26.5
2012,07,06,28.6
2012,07,07,28.1
2012,07,08,28.2
2012,07,09,28.8
2012,07,10,28.0
2012,07,11,28.0
2012,07,12,28.5
2012,07,13,29.0
2012,07,14,27.0
2012,07,15,28.1
2012,07,16,27.4
2012,07,17,27.4
2012,07,18,27.8
2012,07,19,27.4
2012,07,20,28.4
2012,07,21,29.2
2012,07,22,29.5
2012,07,23,29.6
2012,07,24,29.5
2012,07,25,29.4
2012,07,26,29.7
2012,07,27,29.4
2012,07,28,28.5
2012,07,29,28.8
2012,07,30,29.2
2012,07,31,29.3
2012,08,01,28.8
2012,08,02,29.3
2012,08,03,28.1
2012,08,04,27.7
2012,08,05,28.7
2012,08,06,28.4
2012,08,07,28.9
2012,08,08,29.1
2012,08,09,29.1
2012,08,10,29.4
2012,08,11,29.5
2012,08,12,29.3
2012,08,13,29.4
2012,08,14,29.6
2012,08,15,29.4
2012,08,16,29.0
2012,08,17,27.9
2012,08,18,28.5
2012,08,19,29.0
2012,08,20,29.4
2012,08,21,28.8
2012,08,22,28.4
2012,08,23,27.9
2012,08,24,29.1
2012,08,25,29.2
2012,08,26,29.0
2012,08,27,27.6
2012,08,28,26.9
2012,08,29,28.2
2012,08,30,27.0
2012,08,31,27.0
2012,09,01,29.4
2012,09,02,29.3
2012,09,03,29.2
2012,09,04,29.2
2012,09,05,26.8
2012,09,06,27.9
2012,09,07,27.5
2012,09,08,28.2
2012,09,09,26.9
2012,09,10,27.3
2012,09,11,28.2
2012,09,12,28.9
2012,09,13,28.8
2012,09,14,28.8
2012,09,15,29.3
2012,09,16,29.5
2012,09,17,29.1
2012,09,18,29.8
2012,09,19,29.6
2012,09,20,29.5
2012,09,21,28.4
2012,09,22,28.6
2012,09,23,29.4
2012,09,24,29.1
2012,09,25,28.5
2012,09,26,27.5
2012,09,27,28.7
2012,09,28,29.0
2012,09,29,28.9
2012,09,30,28.3
2012,10,01,29.2
2012,10,02,29.1
2012,10,03,30.1
2012,10,04,29.5
2012,10,05,28.4
2012,10,06,28.7
2012,10,07,27.7
2012,10,08,29.3
2012,10,09,29.0
2012,10,10,28.6
2012,10,11,28.3
2012,10,12,28.5
2012,10,13,27.2
2012,10,14,27.6
2012,10,15,28.7
2012,10,16,28.1
2012,10,17,27.4
2012,10,18,27.0
2012,10,19,26.6
2012,10,20,27.0
2012,10,21,26.6
2012,10,22,28.0
2012,10,23,29.1
2012,10,24,29.6
2012,10,25,29.3
2012,10,26,29.4
2012,10,27,29.2
2012,10,28,29.2
2012,10,29,29.0
2012,10,30,28.3
2012,10,31,27.2
2012,11,01,27.1
2012,11,02,28.4
2012,11,03,26.5
2012,11,04,26.8
2012,11,05,27.0
2012,11,06,27.0
2012,11,07,28.4
2012,11,08,27.7
2012,11,09,27.4
2012,11,10,27.5
2012,11,11,28.4
2012,11,12,27.3
2012,11,13,26.9
2012,11,14,26.9
2012,11,15,28.2
2012,11,16,28.7
2012,11,17,27.8
2012,11,18,27.4
2012,11,19,27.6
2012,11,20,28.7
2012,11,21,27.9
2012,11,22,27.3
2012,11,23,27.6
2012,11,24,28.0
2012,11,25,27.1
2012,11,26,27.9
2012,11,27,27.3
2012,11,28,28.1
2012,11,29,27.9
2012,11,30,28.7
2012,12,01,27.6
2012,12,02,28.0
2012,12,03,26.5
2012,12,04,27.1
2012,12,05,27.1
2012,12,06,27.5
2012,12,07,28.5
2012,12,08,28.5
2012,12,09,27.9
2012,12,10,27.2
2012,12,11,27.0
2012,12,12,26.4
2012,12,13,25.9
2012,12,14,27.6
2012,12,15,27.8
2012,12,16,26.6
2012,12,17,26.8
2012,12,18,25.9
2012,12,19,26.4
2012,12,20,27.6
2012,12,21,28.3
2012,12,22,27.4
2012,12,23,27.5
2012,12,24,27.1
2012,12,25,25.7
2012,12,26,26.9
2012,12,27,27.3
2012,12,28,27.6
2012,12,29,27.4
2012,12,30,27.7
2012,12,31,25.8
2013,01,01,27.3
2013,01,02,27.0
2013,01,03,27.3
2013,01,04,27.7
2013,01,05,28.2
2013,01,06,28.6
2013,01,07,30.0
2013,01,08,28.0
2013,01,09,27.4
2013,01,10,27.7
2013,01,11,28.0
2013,01,12,27.8
2013,01,13,27.1
2013,01,14,27.6
2013,01,15,27.6
2013,01,16,27.4
2013,01,17,27.7
2013,01,18,27.6
2013,01,19,24.2
2013,01,20,25.0
2013,01,21,27.2
2013,01,22,26.4
2013,01,23,27.7
2013,01,24,27.6
2013,01,25,27.5
2013,01,26,27.6
2013,01,27,27.6
2013,01,28,27.6
2013,01,29,27.5
2013,01,30,27.8
2013,01,31,27.9
2013,02,01,28.1
2013,02,02,28.5
2013,02,03,26.6
2013,02,04,27.0
2013,02,05,26.8
2013,02,06,26.0
2013,02,07,26.9
2013,02,08,26.3
2013,02,09,26.8
2013,02,10,25.2
2013,02,11,26.1
2013,02,12,26.4
2013,02,13,27.4
2013,02,14,25.4
2013,02,15,25.9
2013,02,16,26.3
2013,02,17,25.4
2013,02,18,26.7
2013,02,19,26.8
2013,02,20,27.7
2013,02,21,27.1
2013,02,22,28.0
2013,02,23,28.5
2013,02,24,28.2
2013,02,25,27.5
2013,02,26,27.2
2013,02,27,27.6
2013,02,28,28.0
2013,03,01,28.5
2013,03,02,28.2
2013,03,03,28.2
2013,03,04,28.4
2013,03,05,28.0
2013,03,06,28.1
2013,03,07,28.3
2013,03,08,28.5
2013,03,09,27.8
2013,03,10,27.2
2013,03,11,28.0
2013,03,12,28.2
2013,03,13,28.0
2013,03,14,27.6
2013,03,15,28.5
2013,03,16,28.8
2013,03,17,27.9
2013,03,18,28.6
2013,03,19,28.7
2013,03,20,29.1
2013,03,21,29.7
2013,03,22,28.8
2013,03,23,28.9
2013,03,24,28.8
2013,03,25,28.7
2013,03,26,28.4
2013,03,27,29.4
2013,03,28,29.2
2013,03,29,28.7
2013,03,30,28.9
2013,03,31,29.2
2013,04,01,29.0
2013,04,02,29.1
2013,04,03,28.9
2013,04,04,28.3
2013,04,05,29.9
2013,04,06,28.3
2013,04,07,28.8
2013,04,08,29.2
2013,04,09,28.9
2013,04,10,29.3
2013,04,11,28.1
2013,04,12,29.3
2013,04,13,29.5
2013,04,14,26.6
2013,04,15,29.8
2013,04,16,29.7
2013,04,17,28.8
2013,04,18,30.7
2013,04,19,27.9
2013,04,20,30.1
2013,04,21,27.5
2013,04,22,29.0
2013,04,23,28.9
2013,04,24,29.3
2013,04,25,29.6
2013,04,26,27.6
2013,04,27,28.7
2013,04,28,27.0
2013,04,29,28.8
2013,04,30,29.9
2013,05,01,29.3
2013,05,02,29.4
2013,05,03,28.9
2013,05,04,29.6
2013,05,05,28.3
2013,05,06,28.7
2013,05,07,27.8
2013,05,08,28.1
2013,05,09,28.6
2013,05,10,29.2
2013,05,11,28.7
2013,05,12,30.4
2013,05,13,31.0
2013,05,14,29.8
2013,05,15,29.6
2013,05,16,27.8
2013,05,17,30.5
2013,05,18,28.7
2013,05,19,30.3
2013,05,20,29.6
2013,05,21,28.8
2013,05,22,28.6
2013,05,23,29.4
2013,05,24,27.9
2013,05,25,29.6
2013,05,26,27.9
2013,05,27,29.1
2013,05,28,29.5
2013,05,29,27.9
2013,05,30,27.8
2013,05,31,28.1
2013,06,01,28.3
2013,06,02,29.4
2013,06,03,28.7
2013,06,04,28.5
2013,06,05,27.6
2013,06,07,28.6
2013,06,08,28.6
2013,06,09,28.4
2013,06,10,29.6
2013,06,11,30.1
2013,06,12,30.7
2013,06,13,30.9
2013,06,14,31.1
2013,06,15,31.1
2013,06,16,31.0
2013,06,17,30.2
2013,06,18,31.2
2013,06,19,31.5
2013,06,20,30.9
2013,06,21,30.8
2013,06,22,31.4
2013,06,23,31.2
2013,06,24,31.0
2013,06,25,29.9
2013,06,26,28.5
2013,06,27,29.9
2013,06,28,29.7
2013,06,29,29.9
2013,06,30,28.2
2013,07,01,29.4
2013,07,02,28.4
2013,07,03,29.1
2013,07,04,28.1
2013,07,05,27.9
2013,07,06,29.5
2013,07,07,29.9
2013,07,08,29.6
2013,07,09,26.8
2013,07,10,28.9
2013,07,11,28.2
2013,07,12,28.4
2013,07,13,28.4
2013,07,14,27.8
2013,07,15,27.8
2013,07,16,28.6
2013,07,17,27.3
2013,07,18,27.2
2013,07,19,28.7
2013,07,20,29.4
2013,07,21,29.9
2013,07,22,29.8
2013,07,23,30.0
2013,07,24,29.9
2013,07,25,28.6
2013,07,26,27.8
2013,07,27,26.2
2013,07,28,28.7
2013,07,29,28.1
2013,07,30,28.8
2013,07,31,28.9
2013,08,01,27.6
2013,08,02,27.7
2013,08,03,29.5
2013,08,04,28.6
2013,08,05,27.4
2013,08,06,29.1
2013,08,07,28.8
2013,08,08,27.6
2013,08,09,28.4
2013,08,10,27.8
2013,08,11,27.3
2013,08,12,27.8
2013,08,13,27.1
2013,08,14,28.3
2013,08,15,29.1
2013,08,16,28.8
2013,08,17,28.3
2013,08,18,28.7
2013,08,19,28.9
2013,08,20,28.2
2013,08,21,29.0
2013,08,22,29.4
2013,08,23,29.6
2013,08,24,29.6
2013,08,25,29.5
2013,08,26,28.5
2013,08,27,29.4
2013,08,28,28.2
2013,08,29,28.4
2013,08,30,28.7
2013,08,31,29.5
2013,09,01,28.4
2013,09,02,27.9
2013,09,03,27.6
2013,09,04,26.9
2013,09,05,26.3
2013,09,06,26.5
2013,09,07,26.1
2013,09,08,26.9
2013,09,09,27.0
2013,09,10,26.0
2013,09,11,28.1
2013,09,12,29.1
2013,09,13,28.7
2013,09,14,29.1
2013,09,15,26.5
2013,09,16,28.3
2013,09,17,28.0
2013,09,18,29.1
2013,09,19,29.4
2013,09,20,29.6
2013,09,21,29.7
2013,09,22,29.8
2013,09,23,29.8
2013,09,24,30.0
2013,09,25,28.1
2013,09,26,27.2
2013,09,27,28.8
2013,09,28,29.1
2013,09,29,28.3
2013,09,30,28.1
2013,10,01,29.5
2013,10,02,27.6
2013,10,03,28.3
2013,10,04,28.9
2013,10,05,28.6
2013,10,06,28.9
2013,10,07,29.1
2013,10,08,30.1
2013,10,09,28.6
2013,10,10,28.7
2013,10,11,27.8
2013,10,12,28.4
2013,10,13,28.8
2013,10,14,27.9
2013,10,15,27.5
2013,10,16,29.7
2013,10,17,29.5
2013,10,18,29.1
2013,10,19,28.3
2013,10,20,27.0
2013,10,21,27.8
2013,10,22,27.7
2013,10,23,28.5
2013,10,24,28.2
2013,10,25,28.8
2013,10,26,28.4
2013,10,27,26.9
2013,10,28,26.6
2013,10,29,27.9
2013,10,30,27.4
2013,10,31,27.8
2013,11,01,27.5
2013,11,02,27.2
2013,11,03,27.8
2013,11,04,27.3
2013,11,05,27.5
2013,11,06,27.5
2013,11,07,29.0
2013,11,08,28.5
2013,11,09,27.2
2013,11,10,27.5
2013,11,11,28.0
2013,11,12,26.0
2013,11,13,27.9
2013,11,14,27.1
2013,11,15,27.0
2013,11,16,27.9
2013,11,17,26.5
2013,11,18,27.6
2013,11,19,28.2
2013,11,20,28.0
2013,11,21,29.0
2013,11,22,28.4
2013,11,23,27.4
2013,11,24,27.5
2013,11,25,27.3
2013,11,26,27.2
2013,11,27,28.1
2013,11,28,27.1
2013,11,29,27.6
2013,11,30,27.1
2013,12,01,26.5
2013,12,02,25.2
2013,12,03,25.9
2013,12,04,25.9
2013,12,05,26.9
2013,12,06,25.6
2013,12,07,27.2
2013,12,08,25.5
2013,12,09,27.0
2013,12,10,27.6
2013,12,11,27.3
2013,12,12,27.5
2013,12,13,28.1
2013,12,14,27.2
2013,12,15,26.8
2013,12,16,28.6
2013,12,17,28.6
2013,12,18,26.8
2013,12,19,26.2
2013,12,20,26.0
2013,12,21,26.7
2013,12,22,27.2
2013,12,23,26.1
2013,12,24,27.5
2013,12,25,27.6
2013,12,26,26.7
2013,12,27,27.1
2013,12,28,26.7
2013,12,29,26.6
2013,12,30,27.1
2013,12,31,26.4
2014,01,01,27.1
2014,01,02,27.6
2014,01,03,27.4
2014,01,04,27.1
2014,01,05,25.3
2014,01,06,25.7
2014,01,07,27.2
2014,01,08,27.7
2014,01,09,26.4
2014,01,10,27.4
2014,01,11,27.3
2014,01,12,26.6
2014,01,13,27.1
2014,01,14,26.9
2014,01,15,26.1
2014,01,16,26.2
2014,01,17,26.4
2014,01,18,26.4
2014,01,19,26.4
2014,01,20,26.4
2014,01,21,26.1
2014,01,22,26.0
2014,01,23,26.0
2014,01,24,26.0
2014,01,25,25.9
2014,01,26,25.8
2014,01,27,25.9
2014,01,28,26.6
2014,01,29,26.7
2014,01,30,26.4
2014,01,31,26.3
2014,02,01,26.3
2014,02,02,26.1
2014,02,03,26.6
2014,02,04,26.8
2014,02,05,26.4
2014,02,06,26.6
2014,02,07,26.9
2014,02,08,26.7
2014,02,09,27.3
2014,02,10,27.9
2014,02,11,27.7
2014,02,12,27.6
2014,02,13,28.1
2014,02,14,27.7
2014,02,15,27.7
2014,02,16,27.7
2014,02,17,27.6
2014,02,18,27.8
2014,02,19,27.5
2014,02,20,27.7
2014,02,21,27.6
2014,02,22,28.0
2014,02,23,27.5
2014,02,24,27.2
2014,02,25,27.1
2014,02,26,27.4
2014,02,27,27.8
2014,02,28,27.6
2014,03,01,27.6
2014,03,02,28.1
2014,03,03,27.8
2014,03,04,28.0
2014,03,05,28.0
2014,03,06,27.5
2014,03,07,27.8
